record,apuntador,fecha,transecto,direcion,placa,x_m,y_m,x_coord,y_coord,species,species_2,circ_cm,y04,y05,y06,y07,y08,y09,y10,y11,y12,y13,y14,y15,y16,sampled,
3876,jorge,9 julio 2004,16,i,3938,107.1,5.6,107.1,304.4,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,196,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
8600,jorge,15 septiembre 2004,41,d,681,288,3.3,-288,313.3,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,110.5,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
8488,jorge,15 septiembre 2004,41,d,471,44,7,-44,317,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,108.5,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
4185,jorge,14 julio 2004,17,i,4208,277,8.4,277,321.6,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,107.8,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
no_rec,gus,23 de abril 2010,42,d,nn-590,100,10,-100,340,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,17,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
4426,jorge,15 julio 2004,18,i,4300,262.5,2.9,262.5,347.1,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,116,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
4349,jorge,15 julio 2004,18,d,4353,104.6,4.7,104.6,354.7,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,112.6,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
4431,jorge,15 julio 2004,18,d,4400,258.2,6.5,258.2,356.5,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
4657,jorge,19-Jul-04,19,i,4731,247.2,8.2,247.2,361.8,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,103.5,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
4604,jorge,19-Jul-04,19,i,4705,101,2.1,101,367.9,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,91.4,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
8952,jorge,29 septiembre 200,44,i,954,3.6,1.6,-3.6,368.4,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,200,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
4880,jorge,21 julio 2004,20,i,4950,236.6,7.2,236.6,382.8,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,150,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
4835,jorge,21 julio 2004,20,i,4922,101.8,5.7,101.8,384.3,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,176,0,0,0,0,0,0,0,0,0,0,1,2,3,no,
4826,jorge,21 julio 2004,20,d,4821,97.1,5.1,97.1,395.1,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,197,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
5093,jorge,28 julio 2004,21,i,5150,230,9,230,401,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,126,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
9225,jorge,5 octubre 2004,46,i,1253,12.1,2.4,-12.1,407.6,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,118.9,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
5041,jorge,28 julio 2004,21,d,5030,85.5,5.6,85.5,415.6,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,157,0,0,0,0,0,0,0,0,1,0,0,0,0,no,
5097,jorge,28 julio 2004,21,d,5058,233,9.7,233,419.7,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,47,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
5427,jorge,3 agosto 2004,22,i,5427,465,7.4,465,422.6,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,203.1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
9344,jorge,5 octubre 2004,47,d,1349,13.2,0.4,-13.2,430.4,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,123.4,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
5638,jorge,5 agosto 2004,23,d,5708,448.1,0.3,448.1,450.3,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,120,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
5742,jorge,agosto-13-2004,24,i,5691,58.3,6.7,58.3,463.3,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,152,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
5802,jorge,agosto-13-2004,24,d,5784,164.6,5.1,164.6,475.1,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,110,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
9902,jorge,12 octubre 2004,51,i,1907,35,2.8,-35,507.2,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,65.1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
6308,jorge,18 agosto 2004,26,d,6338,363.5,8.9,363.5,518.9,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,238,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
10051,jorge,12 octubre 2004,52,i,2000,161.6,1.8,-161.6,528.2,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,198.3,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
10193,jorge,13 octubre 2004,53,i,2152,91.9,1.4,-91.9,548.6,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,138.5,0,0,0,0,0,0,0,0,0,0,0,1,2,no,
6607,jorge,20-Aug-04,28,d,6702,353.3,1.2,353.3,551.2,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,232,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
no_rec,gus,23-Feb-10,1,i,nn-9,199,8.5,199,1.5,Alchornea latifolia,Alchornea_latifolia,16,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
19,stacy,11 mayo 04,1,i,19,93.7,7.7,93.7,2.3,Alchornea latifolia,Alchornea_latifolia,11,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
65,stacy,11 mayo 04,1,i,68,112.8,3.5,112.8,6.5,Alchornea latifolia,Alchornea_latifolia,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
79,stacy,11 mayo 04,1,i,88,130.2,1.1,130.2,8.9,Alchornea latifolia,Alchornea_latifolia,76.7,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
142,stacy,11 mayo 04,1,d,143,117.4,2,117.4,12,Alchornea latifolia,Alchornea_latifolia,31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
134,stacy,11 mayo 04,1,d,136,141.49,2.1,141.49,12.1,Alchornea latifolia,Alchornea_latifolia,65,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
27,stacy,11 mayo 04,1,d,27,82,4.8,82,14.8,Alchornea latifolia,Alchornea_latifolia,63.5,0,0,0,0,0,0,1,2,3,4,5,6,7,no,
